RENTING RATIO: 	1.08
RENTING RATIO: 	0.90
RENTING RATIO: 	5.95
RENTING RATIO: 	45.14
RENTING RATIO: 	5.75
RENTING RATIO: 	100.63
RENTING RATIO: 	22.08
RENTING RATIO: 	22.30
RENTING RATIO: 	1.81
RENTING RATIO: 	9.06
RENTING RATIO: 	119.96
RENTING RATIO: 	3.76
RENTING RATIO: 	0.38
RENTING RATIO: 	36.82
RENTING RATIO: 	5.25
RENTING RATIO: 	8.90
RENTING RATIO: 	169.38
RENTING RATIO: 	64.45
RENTING RATIO: 	11.95
RENTING RATIO: 	69.89
RENTING RATIO: 	12.56
RENTING RATIO: 	2.07
RENTING RATIO: 	9.57
RENTING RATIO: 	12.95
RENTING RATIO: 	15.19
RENTING RATIO: 	2.67
RENTING RATIO: 	52.89
RENTING RATIO: 	15.67
RENTING RATIO: 	0.83
RENTING RATIO: 	2.49
RENTING RATIO: 	13.50
RENTING RATIO: 	5.20
RENTING RATIO: 	35.45
RENTING RATIO: 	188.20
RENTING RATIO: 	97.68
RENTING RATIO: 	1.41
RENTING RATIO: 	36.39
RENTING RATIO: 	0.42
RENTING RATIO: 	1.73
RENTING RATIO: 	1.39
RENTING RATIO: 	1.15
RENTING RATIO: 	0.57
RENTING RATIO: 	11.13
RENTING RATIO: 	240.44
RENTING RATIO: 	3.50
RENTING RATIO: 	6.50
RENTING RATIO: 	13.54
RENTING RATIO: 	1.35
RENTING RATIO: 	1.07
RENTING RATIO: 	7.35
RENTING RATIO: 	31.60
RENTING RATIO: 	69.34
RENTING RATIO: 	122.66
RENTING RATIO: 	2.04
RENTING RATIO: 	3.86
RENTING RATIO: 	1.29
RENTING RATIO: 	3.51
RENTING RATIO: 	0.77
RENTING RATIO: 	1.35
RENTING RATIO: 	1.96
RENTING RATIO: 	1.27
RENTING RATIO: 	10.53
RENTING RATIO: 	1.19
RENTING RATIO: 	3.94
RENTING RATIO: 	0.64
RENTING RATIO: 	4.46
RENTING RATIO: 	12.57
RENTING RATIO: 	12.26
RENTING RATIO: 	2.62
RENTING RATIO: 	1.73
RENTING RATIO: 	150.78
RENTING RATIO: 	28.37
RENTING RATIO: 	210.47
RENTING RATIO: 	0.31
RENTING RATIO: 	1.85
RENTING RATIO: 	7.62
RENTING RATIO: 	3.73
RENTING RATIO: 	15.89
RENTING RATIO: 	80.61
RENTING RATIO: 	75.07
RENTING RATIO: 	2.17
RENTING RATIO: 	24.12
RENTING RATIO: 	1.78
RENTING RATIO: 	5.48
RENTING RATIO: 	35.24
RENTING RATIO: 	39.81
RENTING RATIO: 	50.73
RENTING RATIO: 	14.66
RENTING RATIO: 	6.87
RENTING RATIO: 	11.68
RENTING RATIO: 	11.07
RENTING RATIO: 	14.71
RENTING RATIO: 	12.71
RENTING RATIO: 	3.31
RENTING RATIO: 	29.67
RENTING RATIO: 	0.78
RENTING RATIO: 	37.58
RENTING RATIO: 	0.80
RENTING RATIO: 	16.38
